============================================================
EvoDraughts Evolution Results
============================================================
Date: 2025-12-13 05:51:02
Board Size: 6x6
Population Size: 200
Generations: 100
Games per Evaluation: 20
============================================================

Best Individual:
------------------------------------------------------------
x[8]

Fitness: 0.2750
Depth: 5
Genome Length: 67
Used Codons: 3/67 (4.48%)

Test Results (vs Random): 3/10 wins (30.0%)

Generation Statistics:
------------------------------------------------------------
Generation 0: Best=0.4500, Avg=0.6799
Generation 1: Best=0.4250, Avg=0.6521
Generation 2: Best=0.4000, Avg=0.6289
Generation 3: Best=0.4000, Avg=0.6139
Generation 4: Best=0.4000, Avg=0.6161
Generation 5: Best=0.4000, Avg=0.6105
Generation 6: Best=0.4000, Avg=0.5945
Generation 7: Best=0.4000, Avg=0.6007
Generation 8: Best=0.4000, Avg=0.6045
Generation 9: Best=0.4000, Avg=0.6133
Generation 10: Best=0.4000, Avg=0.6095
Generation 11: Best=0.4000, Avg=0.6036
Generation 12: Best=0.4000, Avg=0.6165
Generation 13: Best=0.4000, Avg=0.5966
Generation 14: Best=0.3250, Avg=0.6020
Generation 15: Best=0.3250, Avg=0.6126
Generation 16: Best=0.3250, Avg=0.5940
Generation 17: Best=0.3250, Avg=0.5774
Generation 18: Best=0.3250, Avg=0.5909
Generation 19: Best=0.3250, Avg=0.6072
Generation 20: Best=0.3250, Avg=0.5929
Generation 21: Best=0.3250, Avg=0.5876
Generation 22: Best=0.3250, Avg=0.5952
Generation 23: Best=0.3250, Avg=0.5775
Generation 24: Best=0.3250, Avg=0.5886
Generation 25: Best=0.3000, Avg=0.5991
Generation 26: Best=0.3000, Avg=0.6030
Generation 27: Best=0.3000, Avg=0.5726
Generation 28: Best=0.3000, Avg=0.5659
Generation 29: Best=0.3000, Avg=0.5944
Generation 30: Best=0.3000, Avg=0.5696
Generation 31: Best=0.3000, Avg=0.5671
Generation 32: Best=0.3000, Avg=0.5645
Generation 33: Best=0.3000, Avg=0.5730
Generation 34: Best=0.3000, Avg=0.5756
Generation 35: Best=0.3000, Avg=0.5735
Generation 36: Best=0.3000, Avg=0.5955
Generation 37: Best=0.3000, Avg=0.5784
Generation 38: Best=0.3000, Avg=0.5746
Generation 39: Best=0.3000, Avg=0.5760
Generation 40: Best=0.3000, Avg=0.5779
Generation 41: Best=0.3000, Avg=0.5840
Generation 42: Best=0.3000, Avg=0.5841
Generation 43: Best=0.3000, Avg=0.5749
Generation 44: Best=0.3000, Avg=0.5766
Generation 45: Best=0.3000, Avg=0.5839
Generation 46: Best=0.3000, Avg=0.5613
Generation 47: Best=0.3000, Avg=0.5638
Generation 48: Best=0.3000, Avg=0.5817
Generation 49: Best=0.3000, Avg=0.5899
Generation 50: Best=0.2750, Avg=0.5819
Generation 51: Best=0.2750, Avg=0.5779
Generation 52: Best=0.2750, Avg=0.5765
Generation 53: Best=0.2750, Avg=0.5786
Generation 54: Best=0.2750, Avg=0.5710
Generation 55: Best=0.2750, Avg=0.5861
Generation 56: Best=0.2750, Avg=0.5776
Generation 57: Best=0.2750, Avg=0.5741
Generation 58: Best=0.2750, Avg=0.5754
Generation 59: Best=0.2750, Avg=0.5827
Generation 60: Best=0.2750, Avg=0.5744
Generation 61: Best=0.2750, Avg=0.5959
Generation 62: Best=0.2750, Avg=0.5797
Generation 63: Best=0.2750, Avg=0.5780
Generation 64: Best=0.2750, Avg=0.5710
Generation 65: Best=0.2750, Avg=0.5691
Generation 66: Best=0.2750, Avg=0.5729
Generation 67: Best=0.2750, Avg=0.5886
Generation 68: Best=0.2750, Avg=0.5873
Generation 69: Best=0.2750, Avg=0.5798
Generation 70: Best=0.2750, Avg=0.5802
Generation 71: Best=0.2750, Avg=0.5594
Generation 72: Best=0.2750, Avg=0.5706
Generation 73: Best=0.2750, Avg=0.5697
Generation 74: Best=0.2750, Avg=0.5713
Generation 75: Best=0.2750, Avg=0.5889
Generation 76: Best=0.2750, Avg=0.5651
Generation 77: Best=0.2750, Avg=0.5689
Generation 78: Best=0.2750, Avg=0.5659
Generation 79: Best=0.2750, Avg=0.5763
Generation 80: Best=0.2750, Avg=0.5692
Generation 81: Best=0.2750, Avg=0.5763
Generation 82: Best=0.2750, Avg=0.5545
Generation 83: Best=0.2750, Avg=0.5677
Generation 84: Best=0.2750, Avg=0.5602
Generation 85: Best=0.2750, Avg=0.5799
Generation 86: Best=0.2750, Avg=0.5862
Generation 87: Best=0.2750, Avg=0.5777
Generation 88: Best=0.2750, Avg=0.5828
Generation 89: Best=0.2750, Avg=0.5665
Generation 90: Best=0.2750, Avg=0.5695
Generation 91: Best=0.2750, Avg=0.5774
Generation 92: Best=0.2750, Avg=0.5879
Generation 93: Best=0.2750, Avg=0.5894
Generation 94: Best=0.2750, Avg=0.5848
Generation 95: Best=0.2750, Avg=0.5739
Generation 96: Best=0.2750, Avg=0.5435
Generation 97: Best=0.2750, Avg=0.5585
Generation 98: Best=0.2750, Avg=0.5695
Generation 99: Best=0.2750, Avg=0.5710
Generation 100: Best=0.2750, Avg=0.5794
