Generation,Best_Fitness,Avg_Fitness
0,0.42500000000000004,0.6831801470588235
1,0.4,0.6146551724137931
2,0.4,0.6306493506493506
3,0.275,0.6082692307692308
4,0.275,0.6186224489795918
5,0.275,0.6465101522842639
6,0.275,0.6550251256281409
7,0.275,0.6612025316455696
8,0.275,0.6657268170426065
9,0.275,0.6573492462311558
10,0.25,0.66175
11,0.25,0.6572500000000001
12,0.25,0.6548125
13,0.25,0.656892230576441
14,0.25,0.648625
15,0.25,0.6409147869674185
16,0.25,0.6406875
17,0.25,0.6532500000000002
18,0.25,0.6380625
19,0.25,0.6470625
20,0.25,0.649375
21,0.25,0.6490625
22,0.25,0.6484375
23,0.25,0.653125
24,0.25,0.656875
25,0.25,0.6455
26,0.25,0.6461875
27,0.25,0.6430625000000001
28,0.25,0.6526249999999999
29,0.25,0.628625
30,0.25,0.6403750000000001
31,0.25,0.6503125
32,0.25,0.6388124999999999
33,0.25,0.6368125
34,0.25,0.6435625000000001
35,0.25,0.62825
36,0.25,0.642875
37,0.25,0.6304375
38,0.25,0.6355
39,0.25,0.627875
40,0.25,0.6288750000000001
41,0.25,0.6467500000000002
42,0.25,0.6320625000000001
43,0.25,0.6457499999999999
44,0.25,0.6505625
45,0.25,0.649
46,0.25,0.6226875000000001
47,0.25,0.6365625
48,0.25,0.65425
49,0.25,0.6388750000000001
50,0.25,0.6423749999999999
51,0.25,0.63875
52,0.25,0.6340625
53,0.25,0.6403125
54,0.25,0.639
55,0.25,0.6313124999999999
56,0.25,0.6310625000000001
57,0.25,0.62475
58,0.25,0.6243125
59,0.25,0.6236875000000001
60,0.25,0.628125
61,0.25,0.6165625
62,0.25,0.6215
63,0.25,0.6296250000000001
64,0.25,0.6361875
65,0.22499999999999998,0.6228750000000001
66,0.22499999999999998,0.6032500000000001
67,0.22499999999999998,0.605875
68,0.22499999999999998,0.6088749999999999
69,0.22499999999999998,0.6126874999999999
70,0.22499999999999998,0.612375
71,0.22499999999999998,0.6198125
72,0.17500000000000004,0.609
73,0.17500000000000004,0.6110625000000001
74,0.17500000000000004,0.6034375
75,0.17500000000000004,0.5995625
